probe	replicate	treatment	repXtrt	input	output	log_input	log_output	match	locus_tag	probe_index	locus_tag_index
A_07_P052986	1	0	rep1trt0	13.354232666666666	10.507812	2.5918333882782574	2.352118980532678	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052986	2	0	rep2trt0	6.815142333333334	11.374824333333335	1.919146950232431	2.431402521494323	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052986	3	0	rep3trt0	146.89397333333332	8.379672	4.989711056697232	2.125808772916514	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052986	1	1	rep1trt1	0.6299640999999999	2.4082822	-0.4620924453472	0.8789137132710775	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052986	2	1	rep2trt1	0.6516122666666667	6.384148000000001	-0.428305576976154	1.8538180428361806	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052986	3	1	rep3trt1	7.188469	1.9010803000000003	1.9724782144277255	0.642422303539998	lcl|NC_002695.1_cds_NP_309203.1_1134	ECs1176	0	0
A_07_P052976	1	0	rep1trt0	7.657880666666667	7.474854333333333	2.035735270100922	2.0115446319073853	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052976	2	0	rep2trt0	8.686018333333335	7.355975333333333	2.1617146447865867	1.9955129534647469	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052976	3	0	rep3trt0	82.32716	10.905328666666668	4.41070106539166	2.3892515382793524	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052976	1	1	rep1trt1	0.7503723666666667	1.7978922	-0.2871857067727205	0.5866149787459074	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052976	2	1	rep2trt1	0.7083159666666666	1.8110663999999999	-0.34486500423935085	0.5939158430552008	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052976	3	1	rep3trt1	3.9916733333333334	2.0155855833333334	1.3842105247736123	0.7009097652552324	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	1	1
A_07_P052972	1	0	rep1trt0	13.123127000000002	7.864228	2.5743760935324893	2.062324375303522	lcl|NC_002695.1_cds_NP_311025.1_2859	ECs2998	2	1
