A_07_P000003	gi|15833191|ref|NP_311964.1|	100.00	20	0	0	1	60	411	430	9e-08	48.5
A_07_P000008	gi|15833192|ref|NP_311965.1|	100.00	19	0	0	3	59	134	152	3e-05	40.0
A_07_P000015	gi|15833193|ref|NP_311966.1|	100.00	19	0	0	3	59	313	331	4e-06	43.1
A_07_P000016	gi|15833194|ref|NP_311967.1|	100.00	19	0	0	3	59	245	263	2e-05	40.8
A_07_P000021	gi|15833195|ref|NP_311968.1|	100.00	19	0	0	3	59	23	41	4e-06	43.1
A_07_P000026	gi|15833196|ref|NP_311969.1|	100.00	20	0	0	1	60	180	199	2e-07	47.4
A_07_P000026	gi|15830522|ref|NP_309295.1|	41.18	17	10	0	1	51	307	323	2.3	23.9
A_07_P000033	gi|15833197|ref|NP_311970.1|	100.00	20	0	0	1	60	175	194	3e-07	47.0
A_07_P000033	gi|15829587|ref|NP_308360.1|	50.00	20	10	0	1	60	177	196	0.36	26.6
A_07_P000036	gi|15833198|ref|NP_311971.1|	100.00	19	0	0	2	58	110	128	4e-06	43.1
A_07_P000036	gi|15831708|ref|NP_310481.1|	78.57	14	3	0	5	46	215	228	0.34	26.6
A_07_P000043	gi|15833199|ref|NP_311972.1|	100.00	19	0	0	3	59	164	182	1e-05	41.6
A_07_P000047	gi|15833200|ref|NP_311973.1|	100.00	19	0	0	2	58	100	118	2e-06	43.9
A_07_P000047	gi|15829905|ref|NP_308678.1|	50.00	18	9	0	2	55	101	118	0.069	28.9
A_07_P000047	gi|38703863|ref|NP_308473.2|	90.00	10	1	0	14	43	230	239	3.8	23.1
A_07_P000047	gi|15831730|ref|NP_310503.1|	66.67	12	4	0	14	49	76	87	4.9	22.7
A_07_P000051	gi|15833201|ref|NP_311974.1|	100.00	19	0	0	2	58	21	39	8e-06	42.0
A_07_P000059	gi|15833202|ref|NP_311975.1|	100.00	19	0	0	3	59	37	55	1e-05	41.2
A_07_P000065	gi|15833203|ref|NP_311976.1|	100.00	20	0	0	1	60	503	522	6e-07	45.8
A_07_P000070	gi|15833204|ref|NP_311977.1|	100.00	20	0	0	1	60	402	421	3e-06	43.5
A_07_P000070	gi|15832849|ref|NP_311622.1|	68.42	19	6	0	1	57	117	135	0.003	33.5
A_07_P000070	gi|15833564|ref|NP_312337.1|	88.24	17	2	0	4	54	77	93	0.004	33.1
A_07_P000070	gi|15831915|ref|NP_310688.1|	50.00	18	9	0	4	57	43	60	0.61	25.8
A_07_P000074	gi|15833205|ref|NP_311978.1|	100.00	20	0	0	1	60	94	113	3e-06	43.5
A_07_P000074	gi|15829332|ref|NP_308105.1|	47.37	19	10	0	4	60	369	387	8.8	21.9
A_07_P000079	gi|15833206|ref|NP_311979.1|	100.00	19	0	0	2	58	214	232	2e-06	43.9
A_07_P000083	gi|15833207|ref|NP_311980.1|	95.00	20	1	0	1	60	177	196	9e-05	38.5
A_07_P000086	gi|15833208|ref|NP_311981.1|	100.00	19	0	0	2	58	353	371	5e-05	39.3
A_07_P000086	gi|15831280|ref|NP_310053.1|	83.33	18	3	0	5	58	372	389	0.005	32.7
A_07_P000086	gi|15834569|ref|NP_313342.1|	77.78	18	4	0	5	58	364	381	0.053	29.3
A_07_P000086	gi|15831850|ref|NP_310623.1|	77.78	18	4	0	5	58	362	379	0.053	29.3
A_07_P000086	gi|15831849|ref|NP_310622.1|	77.78	18	4	0	5	58	360	377	0.053	29.3
A_07_P000086	gi|15832107|ref|NP_310880.1|	66.67	12	4	0	1	36	332	343	6.8	22.3
A_07_P000086	gi|15832089|ref|NP_310862.1|	66.67	12	4	0	1	36	332	343	6.8	22.3
A_07_P000092	gi|162139757|ref|NP_311982.2|	100.00	20	0	0	1	60	399	418	2e-06	43.9
A_07_P000096	gi|15833210|ref|NP_311983.1|	100.00	20	0	0	1	60	55	74	5e-06	42.7
A_07_P000096	gi|15832273|ref|NP_311046.1|	62.50	16	6	0	56	9	108	123	8.4	21.9
A_07_P000102	gi|15833211|ref|NP_311984.1|	100.00	19	0	0	3	59	157	175	1e-05	41.2
A_07_P000106	gi|38704139|ref|NP_311985.2|	100.00	19	0	0	2	58	1012	1030	2e-06	43.9
A_07_P000114	gi|15833213|ref|NP_311986.1|	100.00	20	0	0	1	60	128	147	6e-07	45.8
A_07_P000117	gi|15833214|ref|NP_311987.1|	100.00	20	0	0	1	60	447	466	1e-07	48.1
A_07_P000117	gi|15829510|ref|NP_308283.1|	45.00	20	11	0	1	60	197	216	6.8	22.3
A_07_P000124	gi|15833215|ref|NP_311988.1|	94.74	19	1	0	2	58	337	355	8e-06	42.0
A_07_P000129	gi|15833216|ref|NP_311989.1|	84.21	19	3	0	2	58	618	636	2e-05	40.4
A_07_P000131	gi|15833217|ref|NP_311990.1|	100.00	19	0	0	2	58	496	514	3e-06	43.5
A_07_P000131	gi|38704220|ref|NP_312942.2|	52.63	19	9	0	2	58	29	47	1.3	24.6
A_07_P000131	gi|15832072|ref|NP_310845.1|	55.56	18	8	0	5	58	3	20	6.4	22.3
A_07_P000131	gi|15829660|ref|NP_308433.1|	76.92	13	3	0	5	43	5	17	6.4	22.3
A_07_P000131	gi|15830227|ref|NP_309000.1|	50.00	18	9	0	5	58	148	165	8.4	21.9
A_07_P000131	gi|15830158|ref|NP_308931.1|	36.84	19	12	0	2	58	32	50	8.4	21.9
A_07_P000138	gi|15833218|ref|NP_311991.1|	100.00	19	0	0	3	59	90	108	2e-05	40.4
A_07_P000142	gi|15833219|ref|NP_311992.1|	100.00	19	0	0	2	58	59	77	2e-05	40.8
A_07_P000149	gi|38704140|ref|NP_311993.2|	100.00	19	0	0	3	59	353	371	6e-06	42.4
A_07_P000154	gi|15833221|ref|NP_311994.1|	100.00	20	0	0	1	60	137	156	2e-08	50.8
A_07_P000160	gi|15833222|ref|NP_311995.1|	100.00	19	0	0	3	59	98	116	1e-05	41.6
A_07_P000165	gi|15833223|ref|NP_311996.1|	100.00	20	0	0	1	60	168	187	3e-07	46.6
A_07_P000170	gi|15833224|ref|NP_311997.1|	100.00	20	0	0	1	60	298	317	3e-07	47.0
A_07_P000170	gi|15830226|ref|NP_308999.1|	40.00	20	12	0	1	60	66	85	1.4	24.6
A_07_P000170	gi|15834150|ref|NP_312923.1|	66.67	9	3	0	3	29	53	61	4.9	22.7
A_07_P000173	gi|15833225|ref|NP_311998.1|	100.00	19	0	0	2	58	170	188	3e-05	40.0
A_07_P000176	gi|15833226|ref|NP_311999.1|	100.00	19	0	0	2	58	154	172	2e-06	44.3
A_07_P000176	gi|15830540|ref|NP_309313.1|	64.29	14	5	0	2	43	111	124	4.9	22.7
A_07_P000185	gi|15833227|ref|NP_312000.1|	100.00	19	0	0	3	59	323	341	9e-07	45.1
A_07_P000185	gi|15832695|ref|NP_311468.1|	70.00	10	3	0	18	47	55	64	4.9	22.7
A_07_P000188	gi|15833228|ref|NP_312001.1|	100.00	19	0	0	3	59	452	470	2e-06	43.9
A_07_P000192	gi|15833229|ref|NP_312002.1|	100.00	20	0	0	1	60	292	311	4e-07	46.2
A_07_P000199	gi|162139756|ref|NP_312003.2|	100.00	20	0	0	1	60	219	238	1e-06	45.1
A_07_P000202	gi|15833231|ref|NP_312004.1|	100.00	20	0	0	1	60	165	184	3e-06	43.5
A_07_P000206	gi|15833232|ref|NP_312005.1|	100.00	19	0	0	3	59	67	85	1e-05	41.2
A_07_P000212	gi|229544780|ref|NP_312006.2|	100.00	20	0	0	1	60	34	53	1e-06	44.7
A_07_P000229	gi|15833236|ref|NP_312009.1|	94.74	19	1	0	3	59	30	48	2e-06	43.9
A_07_P000235	gi|15833237|ref|NP_312010.1|	100.00	19	0	0	3	59	115	133	6e-06	42.4
A_07_P000240	gi|15833238|ref|NP_312011.1|	95.00	20	1	0	1	60	292	311	5e-06	42.7
A_07_P000243	gi|15833239|ref|NP_312012.1|	100.00	19	0	0	3	59	84	102	2e-06	44.3
A_07_P000243	gi|15833240|ref|NP_312013.1|	72.22	18	5	0	3	56	80	97	1e-04	38.1
A_07_P000250	gi|15833240|ref|NP_312013.1|	100.00	20	0	0	1	60	10	29	3e-07	47.0
A_07_P000250	gi|15833239|ref|NP_312012.1|	85.00	20	3	0	1	60	10	29	6e-06	42.4
A_07_P000254	gi|15833241|ref|NP_312014.1|	100.00	19	0	0	3	59	154	172	1e-05	41.6
A_07_P000257	gi|15833242|ref|NP_312015.1|	100.00	19	0	0	2	58	65	83	5e-06	42.7
A_07_P000257	gi|15832916|ref|NP_311689.1|	69.23	13	4	0	14	52	398	410	3.8	23.1
A_07_P000264	gi|15833243|ref|NP_312016.1|	100.00	19	0	0	2	58	28	46	2e-05	40.4
A_07_P000269	gi|15833244|ref|NP_312017.1|	100.00	20	0	0	1	60	412	431	5e-06	42.7
A_07_P000272	gi|15833244|ref|NP_312017.1|	100.00	19	0	0	3	59	4	22	6e-06	42.4
A_07_P000276	gi|15833245|ref|NP_312018.1|	100.00	19	0	0	3	59	414	432	8e-06	42.0
A_07_P000282	gi|15833246|ref|NP_312019.1|	100.00	19	0	0	2	58	418	436	1e-05	41.6
A_07_P000282	gi|15831777|ref|NP_310550.1|	100.00	19	0	0	2	58	418	436	1e-05	41.6
A_07_P000282	gi|15832911|ref|NP_311684.1|	94.74	19	1	0	2	58	418	436	4e-05	39.7
A_07_P000290	gi|15833246|ref|NP_312019.1|	100.00	20	0	0	1	60	106	125	2e-07	47.8
A_07_P000290	gi|15831777|ref|NP_310550.1|	50.00	20	10	0	1	60	106	125	4.0	23.1
A_07_P000290	gi|15831620|ref|NP_310393.1|	43.75	16	9	0	56	9	150	165	4.9	22.7
A_07_P000290	gi|15832911|ref|NP_311684.1|	45.00	20	11	0	1	60	106	125	6.8	22.3
A_07_P000294	gi|38704141|ref|NP_312020.2|	100.00	20	0	0	1	60	79	98	3e-07	46.6
